mass_code,mass_value,special_case_code,spin_code,spin_value,spin_axis,has_explicit_spin,resolution_code,resolution_value,periapsis_code,periapsis_value,velocity_code,velocity_value,timestep,rows,unique_simulation_ids,unique_fof_linking_lengths,min_fof_linking_length,max_fof_linking_length,min_largest_fragment_particle_count,max_largest_fragment_particle_count,scenario_label
A2000,2000,,,,,False,n65,65,r11,11,v00,0,90000,9,9,9,0.001,0.008,0,155581,A2000_n65_r11_v00_t90000
A2000,2000,,,,,False,n65,65,r12,12,v00,0,90000,9,9,9,0.001,0.008,0,211562,A2000_n65_r12_v00_t90000
A2000,2000,,,,,False,n65,65,r13,13,v00,0,90000,9,9,9,0.001,0.008,0,215036,A2000_n65_r13_v00_t90000
A2000,2000,,,,,False,n65,65,r14,14,v00,0,90000,9,9,9,0.001,0.008,0,259351,A2000_n65_r14_v00_t90000
A2000,2000,,,,,False,n65,65,r15,15,v00,0,90000,9,9,9,0.001,0.008,0,496150,A2000_n65_r15_v00_t90000
A2000,2000,,,,,False,n65,65,r16,16,v00,0,90000,9,9,9,0.001,0.008,0,774371,A2000_n65_r16_v00_t90000
A2000,2000,,,,,False,n65,65,r17,17,v00,0,90000,9,9,9,0.001,0.008,0,1357324,A2000_n65_r17_v00_t90000
A2000,2000,,,,,False,n65,65,r18,18,v00,0,90000,9,9,9,0.001,0.008,0,2244283,A2000_n65_r18_v00_t90000
A2000,2000,,,,,False,n65,65,r19,19,v00,0,90000,9,9,9,0.001,0.008,0,2642611,A2000_n65_r19_v00_t90000
A2000,2000,,,,,False,n65,65,r20,20,v00,0,90000,9,9,9,0.001,0.008,0,2817034,A2000_n65_r20_v00_t90000
A2000,2000,,,,,False,n65,65,r22,22,v00,0,90000,9,9,9,0.001,0.008,0,3227695,A2000_n65_r22_v00_t90000
A2000,2000,,,,,False,n65,65,r24,24,v00,0,90000,9,9,9,0.001,0.008,0,3227695,A2000_n65_r24_v00_t90000
A1800,1800,,,,,False,n60,60,r12,12,v00,0,90000,5,5,5,0.0001,0.002,0,69353,A1800_n60_r12_v00_t90000
A1800,1800,,,,,False,n60,60,r16,16,v00,0,90000,5,5,5,0.0001,0.002,0,278913,A1800_n60_r16_v00_t90000
A1950,1950,,,,,False,n65,65,r12,12,v00,0,90000,5,5,4,0.002,0.0034,197365,197387,A1950_n65_r12_v00_t90000
A1950,1950,,,,,False,n65,65,r16,16,v00,0,90000,5,5,4,0.002,0.0034,775432,775700,A1950_n65_r16_v00_t90000
A1850,1850,,,,,False,n60,60,r12,12,v00,0,90000,4,4,4,0.0014,0.0024,55215,55225,A1850_n60_r12_v00_t90000
A1850,1850,,,,,False,n60,60,r16,16,v00,0,90000,4,4,4,0.0014,0.0024,210426,210429,A1850_n60_r16_v00_t90000
A2050,2050,,,,,False,n70,70,r12,12,v00,0,90000,3,3,3,0.003,0.005,541511,541559,A2050_n70_r12_v00_t90000
A2050,2050,,,,,False,n70,70,r16,16,v00,0,90000,3,3,3,0.003,0.005,2890146,2960896,A2050_n70_r16_v00_t90000
A2100,2100,,,,,False,n70,70,r12,12,v00,0,90000,3,3,3,0.0044,0.0074,790844,790878,A2100_n70_r12_v00_t90000
A2100,2100,,,,,False,n70,70,r16,16,v00,0,90000,3,3,3,0.0044,0.0074,3921382,3922894,A2100_n70_r16_v00_t90000
A1900,1900,,,,,False,n65,65,r12,12,v00,0,90000,2,2,2,0.0019,0.002,230085,230085,A1900_n65_r12_v00_t90000
A1900,1900,,,,,False,n65,65,r16,16,v00,0,90000,2,2,2,0.0019,0.002,650871,650872,A1900_n65_r16_v00_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r11,11,v00,0,89000,1,1,1,0.002,0.002,121379,121379,A1900_n65_r11_v00_t89000
A1900,1900,,s047z,47.0,z,True,n65,65,r11,11,v00,0,90000,1,1,1,0.002,0.002,118910,118910,A1900_n65_r11_v00_t90000
A1900,1900,,,,,False,n65,65,r11,11,v00,0,89000,1,1,1,0.002,0.002,231726,231726,A1900_n65_r11_v00_t89000
A1900,1900,,s030mz,30.0,mz,True,n65,65,r12,12,v00,0,89000,1,1,1,0.002,0.002,3162276,3162276,A1900_n65_r12_v00_t89000
A1900,1900,,s030x,30.0,x,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,42707,42707,A1900_n65_r12_v00_t90000
A1900,1900,,s030z,30.0,z,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,104603,104603,A1900_n65_r12_v00_t90000
A1900,1900,,s035mz,35.0,mz,True,n65,65,r12,12,v00,0,89000,1,1,1,0.002,0.002,3162276,3162276,A1900_n65_r12_v00_t89000
A1900,1900,,s035x,35.0,x,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,107955,107955,A1900_n65_r12_v00_t90000
A1900,1900,,s035y,35.0,y,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,208166,208166,A1900_n65_r12_v00_t90000
A1900,1900,,s035z,35.0,z,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,142194,142194,A1900_n65_r12_v00_t90000
A1900,1900,,s047mz,47.0,mz,True,n65,65,r12,12,v00,0,89000,1,1,1,0.002,0.002,3162280,3162280,A1900_n65_r12_v00_t89000
A1900,1900,,s047x,47.0,x,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,242309,242309,A1900_n65_r12_v00_t90000
A1900,1900,,s047y,47.0,y,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,188480,188480,A1900_n65_r12_v00_t90000
A1900,1900,,s047z,47.0,z,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,120378,120378,A1900_n65_r12_v00_t90000
A1900,1900,,s086mz,86.0,mz,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,983549,983549,A1900_n65_r12_v00_t90000
A1900,1900,,s086x,86.0,x,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,280253,280253,A1900_n65_r12_v00_t90000
A1900,1900,,s086y,86.0,y,True,n65,65,r12,12,v00,0,89100,1,1,1,0.002,0.002,282647,282647,A1900_n65_r12_v00_t89100
A1900,1900,,s086z,86.0,z,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,160362,160362,A1900_n65_r12_v00_t90000
A1900,1900,,s170mz,170.0,mz,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,347874,347874,A1900_n65_r12_v00_t90000
A1900,1900,,s170x,170.0,x,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,275516,275516,A1900_n65_r12_v00_t90000
A1900,1900,,s170y,170.0,y,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,202829,202829,A1900_n65_r12_v00_t90000
A1900,1900,,s170z,170.0,z,True,n65,65,r12,12,v00,0,90000,1,1,1,0.002,0.002,156851,156851,A1900_n65_r12_v00_t90000
A1900,1900,,,,,False,n50,50,r12,12,v00,0,54000,1,1,1,0.006,0.006,6829,6829,A1900_n50_r12_v00_t54000
